k	run	total_log_prob	dendroscope
4	run_316	-19273306.840902742	(longicaulis-JJ131,((cinerascens-DE542,(rhodotricha-DE534,(decora-DE216,ingens-JJ15))),(lachnoglossa-DE536,((((((chinensis-DE737,(decorissima-DE164,bidentata-DE672)),((latituba-DE88,((tricolor-JJ130,cranolopha-forked-DE151),fletcheri-JJ89)),(souliei-DE549,(oxycarpa-DE504,(torta-yellow-purple-DE736,davidii-DE509))))),(longiflora-red-DE531,mussotii-DE550)),(tenuituba-DE541,delavayi-DE476)))#H1,((((fetisowii-DE523,((cyathophylloides-DE181,cyathophylla-DE561),rex-subsp-lipskyana-red-DE510)),przewalskii-DE69))#H2,((bella-JJ85)#H3,(keiskei-DRR082660,(axillaris-JJ125,((rhinanthoides-DE560,macrosiphon-DE519),(#H1,(#H2,#H3)))))))))));
5	run_287	-19273818.450536866	(longicaulis-JJ131,((lachnoglossa-DE536,((((delavayi-DE476,tenuituba-DE541),((mussotii-DE550,longiflora-red-DE531),((chinensis-DE737,(bidentata-DE672,decorissima-DE164)),((latituba-DE88,((cranolopha-forked-DE151,tricolor-JJ130),fletcheri-JJ89)),((oxycarpa-DE504,(torta-yellow-purple-DE736,davidii-DE509)),souliei-DE549))))))#H1,(((fetisowii-DE523,(przewalskii-DE69,(rex-subsp-lipskyana-red-DE510,(cyathophylloides-DE181,cyathophylla-DE561)))))#H2,((bella-JJ85)#H3,(keiskei-DRR082660,(axillaris-JJ125,((rhinanthoides-DE560,macrosiphon-DE519),(#H1,(#H3,#H2))))))))),((ingens-JJ15,decora-DE216),(rhodotricha-DE534,cinerascens-DE542))));
5	run_312	-19273991.620256405	(longicaulis-JJ131,(((ingens-JJ15,decora-DE216),(cinerascens-DE542,rhodotricha-DE534)),(lachnoglossa-DE536,((((tenuituba-DE541,delavayi-DE476),((longiflora-red-DE531,mussotii-DE550),((chinensis-DE737,(bidentata-DE672,decorissima-DE164)),((fletcheri-JJ89,(latituba-DE88,(cranolopha-forked-DE151,tricolor-JJ130))),(souliei-DE549,(oxycarpa-DE504,(torta-yellow-purple-DE736,davidii-DE509))))))))#H1,((keiskei-DRR082660,(axillaris-JJ125,((rhinanthoides-DE560,macrosiphon-DE519),((bella-JJ85)#H2,(((przewalskii-DE69,(fetisowii-DE523,(rex-subsp-lipskyana-red-DE510,(cyathophylla-DE561,cyathophylloides-DE181)))))#H3,#H1))))),(#H3,#H2))))));
5	run_255	-19274051.629480153	(longicaulis-JJ131,((lachnoglossa-DE536,((((tenuituba-DE541,delavayi-DE476),(((mussotii-DE550,longiflora-red-DE531),(((souliei-DE549,oxycarpa-DE504),(torta-yellow-purple-DE736,davidii-DE509)),(fletcheri-JJ89,((tricolor-JJ130,cranolopha-forked-DE151),latituba-DE88)))),((decorissima-DE164,bidentata-DE672),chinensis-DE737))))#H1,((((((przewalskii-DE69,(rex-subsp-lipskyana-red-DE510,(cyathophylloides-DE181,cyathophylla-DE561))),fetisowii-DE523))#H3,((bella-JJ85)#H4,(keiskei-DRR082660)#H5)))#H2,(#H2,(axillaris-JJ125,((rhinanthoides-DE560,macrosiphon-DE519),(#H5,(#H1,(#H4,#H3))))))))),((decora-DE216,ingens-JJ15),(cinerascens-DE542,rhodotricha-DE534))));
5	run_182	-19274124.948098775	(((lachnoglossa-DE536,(((((fletcheri-JJ89)#H2,(tenuituba-DE541,delavayi-DE476)),((mussotii-DE550,longiflora-red-DE531),(((bidentata-DE672,chinensis-DE737),decorissima-DE164),((souliei-DE549,(oxycarpa-DE504,(torta-yellow-purple-DE736,davidii-DE509))),(latituba-DE88,(#H2,(tricolor-JJ130,cranolopha-forked-DE151))))))))#H1,(((bella-JJ85)#H4)#H3,(((przewalskii-DE69,(fetisowii-DE523,(rex-subsp-lipskyana-red-DE510,(cyathophylloides-DE181,cyathophylla-DE561)))))#H5,(keiskei-DRR082660,(axillaris-JJ125,((macrosiphon-DE519,rhinanthoides-DE560),(#H3,(#H1,(#H4,#H5)))))))))),((decora-DE216,ingens-JJ15),(cinerascens-DE542,rhodotricha-DE534))),longicaulis-JJ131);
5	run_011	-19274423.457231056	(longicaulis-JJ131,((((tenuituba-DE541,delavayi-DE476),((fletcheri-JJ89)#H2,(((longiflora-red-DE531,mussotii-DE550),(chinensis-DE737,(bidentata-DE672,decorissima-DE164))),((souliei-DE549,((torta-yellow-purple-DE736,davidii-DE509),oxycarpa-DE504)),(latituba-DE88,(#H2,(tricolor-JJ130,cranolopha-forked-DE151))))))))#H1,(((rhodotricha-DE534,cinerascens-DE542),(ingens-JJ15,decora-DE216)),(lachnoglossa-DE536,(((((fetisowii-DE523,(rex-subsp-lipskyana-red-DE510,(cyathophylloides-DE181,cyathophylla-DE561))),przewalskii-DE69))#H3,(bella-JJ85)#H4),(((rhinanthoides-DE560,macrosiphon-DE519))#H5,(keiskei-DRR082660,(axillaris-JJ125,(#H5,(#H1,(#H4,#H3)))))))))));
5	run_181	-19274970.98381666	((((ingens-JJ15,decora-DE216),(cinerascens-DE542,rhodotricha-DE534)),(lachnoglossa-DE536,((((delavayi-DE476,tenuituba-DE541),(((mussotii-DE550,longiflora-red-DE531),(decorissima-DE164,(chinensis-DE737,bidentata-DE672))),(((oxycarpa-DE504,souliei-DE549),(torta-yellow-purple-DE736,davidii-DE509)),(latituba-DE88,(fletcheri-JJ89,(cranolopha-forked-DE151,tricolor-JJ130)))))))#H1,((keiskei-DRR082660,(axillaris-JJ125,((macrosiphon-DE519,rhinanthoides-DE560),(#H1,((bella-JJ85)#H2,((fetisowii-DE523,((rex-subsp-lipskyana-red-DE510,(cyathophylloides-DE181,cyathophylla-DE561)),przewalskii-DE69)))#H3))))),(#H3,#H2))))),longicaulis-JJ131);
5	run_395	-19275048.804453507	((((rhodotricha-DE534,cinerascens-DE542),(decora-DE216,ingens-JJ15)),((((tenuituba-DE541,delavayi-DE476),(((decorissima-DE164,(chinensis-DE737,bidentata-DE672)),(((souliei-DE549,(torta-yellow-purple-DE736,davidii-DE509)),oxycarpa-DE504),(fletcheri-JJ89,(latituba-DE88,(cranolopha-forked-DE151,tricolor-JJ130))))),(mussotii-DE550,longiflora-red-DE531))))#H1,(lachnoglossa-DE536,(((fetisowii-DE523,(przewalskii-DE69,(((cyathophylloides-DE181,cyathophylla-DE561))#H3,(rex-subsp-lipskyana-red-DE510,#H3)))))#H2,((bella-JJ85)#H4,(keiskei-DRR082660,(axillaris-JJ125,((#H1,(#H4,#H2)),((macrosiphon-DE519)#H5,(rhinanthoides-DE560,#H5)))))))))),longicaulis-JJ131);
5	run_473	-19275071.010620885	(longicaulis-JJ131,(((decora-DE216,ingens-JJ15),(rhodotricha-DE534,cinerascens-DE542)),((((tenuituba-DE541,delavayi-DE476),((mussotii-DE550,longiflora-red-DE531),(((souliei-DE549,((davidii-DE509,torta-yellow-purple-DE736),oxycarpa-DE504)),((latituba-DE88,((tricolor-JJ130,cranolopha-forked-DE151))#H2),(#H2,fletcheri-JJ89))),(chinensis-DE737,(bidentata-DE672,decorissima-DE164))))))#H1,(lachnoglossa-DE536,(((bella-JJ85)#H3,((fetisowii-DE523,(przewalskii-DE69,(rex-subsp-lipskyana-red-DE510,(cyathophylloides-DE181,cyathophylla-DE561)))))#H4),(keiskei-DRR082660,(axillaris-JJ125,((macrosiphon-DE519,rhinanthoides-DE560),(#H1,(#H3,#H4))))))))));
5	run_435	-19275269.358603034	(longicaulis-JJ131,((lachnoglossa-DE536,((((tenuituba-DE541,delavayi-DE476),((longiflora-red-DE531,mussotii-DE550),(((decorissima-DE164,bidentata-DE672),chinensis-DE737),((oxycarpa-DE504,(souliei-DE549,(davidii-DE509,torta-yellow-purple-DE736))),(fletcheri-JJ89,(latituba-DE88,(cranolopha-forked-DE151,tricolor-JJ130))))))))#H1,(((fetisowii-DE523,((rex-subsp-lipskyana-red-DE510,(cyathophylla-DE561,cyathophylloides-DE181)),przewalskii-DE69)))#H2,((bella-JJ85)#H3,(keiskei-DRR082660,(axillaris-JJ125,((rhinanthoides-DE560,macrosiphon-DE519),(#H1,(#H3,#H2))))))))),((rhodotricha-DE534,cinerascens-DE542),(ingens-JJ15,decora-DE216))));
