branch_id_1	branch_id_2	branch_id_3	branch_id_4	dist_bl	dist_node_num	branch_num_fg_tube	branch_num_fg_pink	branch_num_fg_yellow	branch_num_fg_beakless	branch_num_mg_tube	branch_num_mg_pink	branch_num_mg_yellow	branch_num_mg_beakless	is_fg_tube	is_fg_pink	is_fg_yellow	is_fg_beakless	is_mf_tube	is_mf_pink	is_mf_yellow	is_mf_beakless	is_mg_tube	is_mg_pink	is_mg_yellow	is_mg_beakless	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	S_sub_1	S_sub_2	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe
4	11	18	51	0.3182	6	1	3	2	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	24.2895	136.1748	248.1304	342.9258	0.0120	24503397718.6835	4.4373	6528.9190	110.6034	132.0771	46.6444	26556.1070	134.7084	0.0048	123636.8321	130.9846	66.0665	15867.4727	5.4376	0.3425	107.0248	0.3928	0.3987	0.0000	29.5187	0.0101	143.4628	1.8407	15.6709	-0.9101	0.0083	30.9836	12.9479	46.5751	16.5085	2.8404	0.9999	1.8405	0.8499	0.0000	0.8499	1.9905	0.9998	0.9906	0.2877	0.0173	0.2704	0.0172	0.0172	0.0000	0.2705	0.0001	0.2704	0.0215	0.0214	0.0001	0.0063	0.0063	0.0000	0.0152	0.0151	0.0001	0.0529	0.0504	0.0025	0.0437	0.0431	0.0006	0.0092	0.0073	0.0019
11	18	51	64	0.3147	6	2	2	3	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	12.7793	0.6155	195.5406	117.5969	1.8770	1893708.7199	2.7447	inf	114.5971	165.1883	0.8099	49901.9804	185.4663	2.9975	186752.9960	157.7051	0.0001	38009.2792	12.9263	1.3160	255.2001	1.5771	1.5970	0.0986	57.4585	0.0000	331.6776	203.6277	9.2933	0.0762	-0.0041	12.9479	12.0550	16.5085	19.5066	2.8544	0.0139	2.8404	0.8639	0.0139	0.8499	1.9905	0.0000	1.9905	0.4848	0.0471	0.4377	0.0471	0.0471	0.0000	0.4377	0.0000	0.4377	0.0173	0.0172	0.0001	0.0047	0.0047	0.0000	0.0126	0.0126	0.0001	0.0375	0.0358	0.0017	0.0299	0.0295	0.0004	0.0076	0.0063	0.0013
11	18	51	66	0.3147	6	1	3	2	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	73.7745	0.0758	1083.2694	715.3691	0.0005	69296593636.4590	10.9628	12102.4427	579.9216	570.6885	0.0523	174142.3828	545.0208	0.0004	514012.7936	582.4144	0.0761	135761.7434	7.7356	0.6908	160.7563	0.7619	0.7742	0.0000	53.1262	0.0000	234.1036	10940.2742	10.7133	0.0891	0.0009	12.9479	12.0550	16.5085	19.5066	2.8297	0.0003	2.8295	0.8474	0.0000	0.8474	1.9823	0.0003	1.9820	0.2837	0.0242	0.2595	0.0242	0.0242	0.0000	0.2595	0.0000	0.2595	0.0050	0.0049	0.0000	0.0016	0.0016	0.0000	0.0034	0.0034	0.0000	0.0367	0.0351	0.0016	0.0318	0.0313	0.0005	0.0049	0.0038	0.0011
11	18	51	73	0.3147	6	2	3	2	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	30.0602	0.0000	464.0952	419.6375	0.0000	18519964803.2277	5.3659	0.0000	267.4737	170.1783	0.0000	52144.0217	172.7994	0.0000	156317.7657	169.0833	0.0000	40593.4845	5.6613	0.3593	112.3563	0.4118	0.4180	0.0000	31.5106	0.0000	151.7662	inf	15.5401	0.0897	0.0081	12.9479	12.0550	16.5085	19.5066	2.8404	0.0000	2.8404	0.8499	0.0000	0.8499	1.9905	0.0000	1.9905	0.2879	0.0174	0.2704	0.0174	0.0174	0.0000	0.2704	0.0000	0.2704	0.0167	0.0166	0.0001	0.0049	0.0049	0.0000	0.0118	0.0117	0.0000	0.0508	0.0484	0.0024	0.0423	0.0416	0.0006	0.0086	0.0068	0.0018
11	18	51	74	0.3147	6	1	2	2	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	27.1308	0.0000	409.3391	386.9655	0.0000	26889139977.7631	4.5207	0.0000	231.0106	170.3201	0.0000	52185.7792	172.9401	0.0000	156440.1623	169.2254	0.0000	40626.0724	6.2777	0.3947	127.4879	0.4469	0.4538	0.0000	37.4337	0.0000	175.8624	inf	15.6757	0.0897	0.0083	12.9479	12.0550	16.5085	19.5066	2.8404	0.0000	2.8404	0.8499	0.0000	0.8499	1.9905	0.0000	1.9905	0.2877	0.0173	0.2704	0.0173	0.0173	0.0000	0.2704	0.0000	0.2704	0.0167	0.0166	0.0001	0.0049	0.0049	0.0000	0.0118	0.0117	0.0000	0.0458	0.0437	0.0021	0.0386	0.0380	0.0006	0.0072	0.0057	0.0015
11	18	64	66	0.3147	6	1	2	2	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	26.5693	0.0199	401.4244	259.8940	0.0001	13254143224.0519	7.3770	10242.4374	231.8750	372.2643	0.0325	111898.4146	572.7583	0.0003	581452.7499	316.7557	0.0415	79681.1045	14.0111	1.6382	278.7534	2.2038	2.2303	0.0000	42.9385	0.0000	343.6382	11483.4210	7.9526	0.0940	-0.0112	12.9479	12.0550	16.5085	19.5066	2.9850	0.0003	2.9848	0.9958	0.0000	0.9958	1.9892	0.0003	1.9890	0.4867	0.0544	0.4323	0.0544	0.0544	0.0000	0.4323	0.0000	0.4323	0.0080	0.0080	0.0000	0.0017	0.0017	0.0000	0.0063	0.0063	0.0000	0.0347	0.0332	0.0016	0.0247	0.0244	0.0003	0.0101	0.0088	0.0013
11	18	64	73	0.3147	6	2	2	2	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	14.0431	0.0000	242.0518	177.5061	0.0000	7741175310.5781	4.3962	0.0000	142.0748	112.8643	0.0000	33404.8653	185.4060	0.0000	174033.6071	94.3976	0.0000	23792.2775	8.0370	0.7256	138.0071	1.0445	1.0596	0.0000	21.4725	0.0000	167.4631	85370121.0196	10.6992	0.0947	0.0016	12.9479	12.0550	16.5085	19.5066	2.9962	0.0000	2.9962	0.9987	0.0000	0.9987	1.9975	0.0000	1.9975	0.4927	0.0421	0.4506	0.0421	0.0421	0.0000	0.4506	0.0000	0.4506	0.0265	0.0265	0.0001	0.0054	0.0054	0.0000	0.0212	0.0211	0.0001	0.0613	0.0580	0.0033	0.0403	0.0397	0.0006	0.0210	0.0183	0.0027
11	18	64	74	0.3147	6	1	1	2	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	11.8688	0.0000	195.6055	153.6847	0.0000	6352806691.1648	3.5707	0.0000	114.4325	112.9578	0.0000	33431.7367	185.5575	0.0000	174174.0826	94.4761	0.0000	23811.4119	9.5172	0.8535	170.9141	1.2074	1.2240	0.0000	26.4587	0.0000	208.0827	85370121.0196	10.7488	0.0947	0.0018	12.9479	12.0550	16.5085	19.5066	2.9962	0.0000	2.9962	0.9987	0.0000	0.9987	1.9975	0.0000	1.9975	0.4925	0.0419	0.4506	0.0419	0.0419	0.0000	0.4506	0.0000	0.4506	0.0265	0.0264	0.0001	0.0054	0.0054	0.0000	0.0211	0.0211	0.0001	0.0517	0.0491	0.0026	0.0347	0.0342	0.0005	0.0170	0.0149	0.0022
11	51	64	66	0.2780	4	2	2	3	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	46.2564	0.0508	656.8899	451.7778	0.0110	730152.4693	7.8930	29.2918	385.8487	302.0925	0.0299	89677.3204	303.2780	0.0074	288234.0740	301.5885	0.0394	69271.9733	6.5308	0.5883	136.5180	0.6713	0.6748	0.3948	38.2095	0.0013	179.5314	10147.2606	10.6097	0.0891	0.0007	12.9479	13.8423	16.5085	9.7510	2.8307	0.0003	2.8304	0.8478	0.0000	0.8478	1.9829	0.0003	1.9826	0.2874	0.0248	0.2627	0.0249	0.0247	0.0002	0.2625	0.0000	0.2625	0.0094	0.0093	0.0000	0.0028	0.0028	0.0000	0.0066	0.0065	0.0000	0.0440	0.0421	0.0019	0.0371	0.0367	0.0005	0.0069	0.0054	0.0015
11	51	64	73	0.2780	4	3	2	3	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	17.8657	0.0009	324.0503	115.8550	0.0027	297401.8288	4.0799	0.0000	195.5776	89.9975	0.0006	26765.4154	96.4779	0.0023	87393.0251	87.4880	0.0000	20648.4660	5.0374	0.6964	82.5965	0.8327	0.8407	0.2939	21.4438	0.0000	105.5768	142458.7381	6.6387	0.0897	-0.0133	12.9479	13.8423	16.5085	9.7510	2.8413	0.0000	2.8413	0.8503	0.0000	0.8502	1.9911	0.0000	1.9911	0.3151	0.0412	0.2738	0.0415	0.0412	0.0002	0.2736	0.0000	0.2736	0.0316	0.0315	0.0001	0.0088	0.0088	0.0000	0.0228	0.0227	0.0001	0.0625	0.0592	0.0033	0.0498	0.0491	0.0007	0.0128	0.0102	0.0026
