branch_id_1	branch_id_2	branch_id_3	dist_bl	dist_node_num	branch_num_fg_tube	branch_num_fg_pink	branch_num_fg_yellow	branch_num_fg_beakless	branch_num_mg_tube	branch_num_mg_pink	branch_num_mg_yellow	branch_num_mg_beakless	is_fg_tube	is_fg_pink	is_fg_yellow	is_fg_beakless	is_mf_tube	is_mf_pink	is_mf_yellow	is_mf_beakless	is_mg_tube	is_mg_pink	is_mg_yellow	is_mg_beakless	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	S_sub_1	S_sub_2	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe
19	20	69	0.1291	8	1	2	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	0.0000	inf	inf	0.0000	inf	inf	0.0000	inf	81.2875	0.0000	2712.4596	0.1499	0.0000	24.1267	106.0386	0.0000	2849.3656	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	inf	-0.0000	0.0000	10.3708	5.9986	3.9994	1.0176	3.0046	0.0000	2.9911	0.0013	0.0000	0.0013	2.9898	0.0000	2.9898	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0368	0.0357	0.0011	0.0086	0.0085	0.0001	0.0282	0.0271	0.0010	0.0056	0.0047	0.0009	0.0022	0.0021	0.0001	0.0034	0.0026	0.0008	
19	20	78	0.1291	4	1	3	0	0	0	0	0	0	N	Y	N	N	N	N	N	N	N	N	N	N	93258.7848	0.0000	137898066.9378	120.7887	0.0000	132215.3794	136675.1571	0.0000	inf	30.7193	0.0000	1051.9427	0.0399	0.0000	7.2039	44.9061	0.0000	1118.6291	0.0003	0.0004	0.0000	0.0003	0.0003	0.0001	0.0003	0.0004	0.0000	inf	0.0036	-0.0000	-0.0000	10.3708	5.9986	1.7479	1.0176	2.9920	0.0000	2.9920	0.0012	0.0000	0.0012	2.9907	0.0000	2.9907	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0974	0.0946	0.0028	0.0308	0.0306	0.0002	0.0666	0.0639	0.0027	0.0111	0.0094	0.0017	0.0048	0.0046	0.0002	0.0062	0.0048	0.0015
19	20	82	0.1291	4	1	2	0	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	0.0000	inf	inf	0.0000	inf	inf	0.0000	inf	100.8271	0.0000	3281.0652	0.1139	0.0000	30.2862	158.5402	0.0000	3432.7540	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	inf	-0.0000	0.0000	10.3708	5.9986	2.9951	1.0176	0.0000	0.0000	2.9871	0.0012	0.0000	0.0012	2.9859	0.0000	2.9859	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0296	0.0287	0.0009	0.0108	0.0108	0.0000	0.0188	0.0180	0.0009	0.0023	0.0019	0.0005	0.0010	0.0009	0.0000	0.0013	0.0009	0.0004	
19	69	78	0.1010	7	1	2	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	0.0000	inf	inf	0.0000	inf	inf	0.0000	inf	40.8418	0.0000	1347.1589	0.0465	0.0000	9.4261	56.5831	0.0000	1410.6940	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	inf	-0.0000	0.0000	10.3708	3.9994	12.0011	3.0046	3.9813	0.0000	2.9941	0.0009	0.0000	0.0009	2.9931	0.0000	2.9931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0733	0.0711	0.0022	0.0204	0.0203	0.0001	0.0529	0.0508	0.0021	0.0124	0.0104	0.0020	0.0053	0.0050	0.0003	0.0072	0.0055	0.0017	
19	69	82	0.1127	7	1	1	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	0.0000	inf	inf	0.0000	inf	inf	0.0000	inf	153.3942	0.0000	5439.2108	0.1461	0.0000	73.2290	230.1359	0.0000	5568.9122	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	inf	-0.0000	0.0000	10.3708	3.9994	2.9951	3.0046	0.0000	0.0000	2.9892	0.0009	0.0000	0.0009	2.9882	0.0000	2.9882	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0195	0.0189	0.0005	0.0065	0.0065	0.0000	0.0130	0.0124	0.0005	0.0023	0.0020	0.0004	0.0010	0.0010	0.0001	0.0013	0.0010	0.0003	
19	78	82	0.1127	3	1	2	0	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	0.0000	inf	inf	0.0000	inf	inf	0.0000	inf	58.4688	0.0000	2004.2860	0.0532	0.0000	8.8304	86.8285	0.0000	2148.8475	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	inf	-0.0000	0.0000	10.3708	12.0011	2.9951	3.9813	0.0000	0.0000	2.9901	0.0009	0.0000	0.0009	2.9892	0.0000	2.9892	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0511	0.0496	0.0015	0.0167	0.0166	0.0001	0.0344	0.0330	0.0014	0.0048	0.0040	0.0007	0.0023	0.0021	0.0001	0.0025	0.0019	0.0006	
20	69	78	0.1019	8	0	2	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	0.0000	inf	inf	0.0000	inf	inf	0.0000	inf	74.2256	0.0000	2122.2566	0.0471	0.0000	3.9283	93.9908	0.0000	2286.9007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	inf	-0.0000	0.0000	5.9986	3.9994	12.0011	3.0046	3.9813	0.0000	2.9961	0.0004	0.0000	0.0004	2.9957	0.0000	2.9957	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0404	0.0390	0.0014	0.0085	0.0084	0.0001	0.0319	0.0306	0.0013	0.0052	0.0041	0.0011	0.0005	0.0005	0.0000	0.0046	0.0036	0.0010	
20	69	82	0.1136	8	0	1	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	0.0000	inf	inf	0.0000	inf	inf	0.0000	inf	291.4123	0.0000	8741.7179	0.1647	0.0000	37.6784	381.6381	0.0000	9020.3435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	inf	-0.0000	0.0000	5.9986	3.9994	2.9951	3.0046	0.0000	0.0000	2.9912	0.0004	0.0000	0.0004	2.9908	0.0000	2.9908	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0103	0.0099	0.0003	0.0024	0.0024	0.0000	0.0078	0.0075	0.0003	0.0010	0.0008	0.0002	0.0001	0.0001	0.0000	0.0009	0.0007	0.0002	
20	78	82	0.1136	4	0	2	0	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	0.0000	inf	inf	0.0000	inf	inf	0.0000	inf	108.1198	0.0000	3236.4060	0.1133	0.0000	35.1342	121.2567	0.0000	3270.2645	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	inf	-0.0000	0.0000	5.9986	12.0011	2.9951	3.9813	0.0000	0.0000	2.9921	0.0003	0.0000	0.0003	2.9917	0.0000	2.9917	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0277	0.0267	0.0009	0.0030	0.0030	0.0000	0.0247	0.0238	0.0009	0.0024	0.0019	0.0004	0.0004	0.0003	0.0000	0.0020	0.0016	0.0004	
69	78	82	0.0902	7	0	1	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	0.0000	inf	inf	0.0000	inf	inf	0.0000	inf	142.6531	0.0000	4270.8048	0.0138	0.0000	3.6411	179.9900	0.0000	4373.5174	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	inf	-0.0000	0.0000	3.9994	12.0011	2.9951	3.9813	0.0000	0.0000	2.9942	0.0001	0.0000	0.0001	2.9941	0.0000	2.9941	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0210	0.0203	0.0007	0.0044	0.0043	0.0000	0.0166	0.0160	0.0007	0.0023	0.0018	0.0005	0.0004	0.0003	0.0000	0.0019	0.0015	0.0004	
